id_cliente,nombre,edad,fecha_registro,ultimo_login,pais,ciudad,nro_compras,total_gastado,metodo_pago_preferido,dispositivo,compro_en_campania_pasada
49,Laura,24,2016-07-07,2017-03-21,COLOMBIA,Bogotá,4,21.05,,,1
50,Juan,-3,2020-08-22,2023-12-30,Perú,,7,251.74,tarjeta,pc,1
51,María,41,2022-06-06,2025-03-22,,bogota,2,162.43,paypal,tablet,1
52,Ana,21,2018-07-21,2022-11-25,Perú,Medellín,2,276.03,paypal,pc,1
53,Carlos,42,2020-09-29,2026-02-26,ARGENTINA,CDMX,4,88.61,tarjeta,Pc,0
54,Luis,42,2016-05-14,2020-04-12,peru,medellin,10,102.53,efectivo,tablet,0
55,Juan,38,2021-08-13,2025-05-05,Perú,CDMX,9,329.61,paypal,tablet,1
56,Carlos,64,2022-08-03,2026-02-25,,cdmx,5,62.12,paypal,Móvil,0
57,Luis,33,2021-08-01,2021-07-04,colombia,CDMX,2,96.06,Efectivo,,1
58,Pedro,31,2022-12-04,2023-05-06,Perú,Bogotá,3,2.72,,móvil,0
59,Pedro,43,2019-03-10,2024-03-17,Colombia,cdmx,6,162.08,Tarjeta,móvil,1
60,desconocido,34,2021-04-22,2022-06-11,Perú,,6,381.39,paypal,móvil,0
61,Carlos,48,2019-02-20,2021-09-20,COLOMBIA,Medellín,8,5.66,,Pc,1
62,Pedro,19,2015-10-06,2020-01-01,ARGENTINA,bogota,3,190.27,efectivo,pc,1
63,Luis,19,2017-12-18,2018-11-03,México,cdmx,9,373.45,Tarjeta,móvil,0
64,desconocido,44,2016-03-21,2018-05-08,Perú,Medellín,3,136.22,tarjeta,pc,0
65,Luis,21,2020-11-30,2021-01-04,argentina,medellin,5,75.09,paypal,móvil,1
66,desconocido,42,2017-04-15,2020-08-21,Colombia,cdmx,4,1135.85,efectivo,Móvil,0
67,Carlos,39,2017-01-24,2021-04-05,colombia,cdmx,6,13.41,,pc,1
68,Juan,26,2020-01-20,2019-11-13,Perú,bogota,5,47.25,tarjeta,Pc,1
69,Laura,39,2019-05-12,2023-12-27,peru,Medellín,7,432.99,Efectivo,,1
70,,20,2019-02-21,2019-08-17,peru,,4,70.57,Efectivo,,1
71,Juan,23,2018-12-01,2020-09-10,Colombia,bogota,5,342.79,Tarjeta,Pc,0
72,Sofía,32,2021-08-11,2021-05-19,COLOMBIA,Medellín,6,81.05,tarjeta,pc,0
73,Luis,35,2017-12-19,2021-07-12,mexico,,5,334.24,Tarjeta,,0
74,Sofía,31,2021-07-04,2023-06-21,COLOMBIA,medellin,8,231.5,tarjeta,Pc,0
75,Juan,40,2022-08-07,2026-11-14,Colombia,Bogotá,3,126.42,,tablet,1
76,desconocido,39,2019-05-10,2020-05-10,COLOMBIA,bogota,3,148.02,tarjeta,Pc,1
77,,53,2020-03-23,2021-09-01,peru,Medellín,2,39.12,Efectivo,Móvil,1
78,,33,2022-07-30,2025-08-13,ARGENTINA,,5,24.63,Tarjeta,Móvil,0
79,Ana,49,2021-02-09,2022-06-23,mexico,,6,252.42,Efectivo,pc,0
80,,46,2017-10-19,2022-04-14,peru,cdmx,7,377.53,tarjeta,Pc,1
81,Laura,62,2021-06-16,2024-12-21,colombia,cdmx,4,256.01,Efectivo,pc,0
82,,33,2019-04-11,2024-01-21,peru,Medellín,3,488.06,Tarjeta,móvil,0
83,Juan,29,2015-06-26,2020-04-15,COLOMBIA,CDMX,7,441.6,Tarjeta,tablet,0
84,Ana,50,2017-04-26,2022-03-18,ARGENTINA,medellin,6,301.18,efectivo,pc,1
85,Juan,39,2018-06-02,2020-01-02,mexico,,11,456.81,Efectivo,pc,1
86,Juan,50,2019-05-20,2024-02-18,Perú,,-2,36.6,efectivo,pc,0
87,María,43,2019-05-24,2019-07-11,mexico,Bogotá,7,262.88,tarjeta,,1
88,Ana,9,2020-05-29,2024-03-24,peru,Buenos Aires,10,280.22,,pc,1
89,Juan,39,2020-08-18,2022-08-05,Perú,,4,33.44,Efectivo,,1
90,María,38,2015-08-24,2020-02-23,Colombia,CDMX,6,480.67,paypal,Móvil,1
91,María,36,2016-12-10,2021-03-05,,medellin,4,1.76,efectivo,tablet,0
92,Ana,33,2022-06-25,2026-10-14,peru,medellin,8,114.05,Tarjeta,móvil,0
93,Sofía,15,2017-03-04,2020-09-02,argentina,bogota,8,4.34,efectivo,tablet,1
94,desconocido,45,2022-10-26,2027-11-08,peru,,6,148.2,Efectivo,pc,1
95,Laura,39,2020-04-18,2021-10-27,Colombia,CDMX,9,106.26,efectivo,Móvil,1
96,desconocido,48,2019-07-28,2022-03-07,mexico,Medellín,2,195.13,Tarjeta,móvil,1
97,,16,2015-01-27,2016-05-17,colombia,cdmx,4,290.87,efectivo,,0
98,Laura,41,2022-02-10,2023-10-25,Perú,,2,292.7,efectivo,pc,0
99,,32,2018-05-11,2022-07-30,argentina,,5,256.19,paypal,,0
100,Juan,36,2015-03-26,2016-10-29,,CDMX,10,21.49,tarjeta,pc,1
101,Luis,32,2020-01-30,2021-11-01,Colombia,Buenos Aires,8,108.06,Tarjeta,Pc,1
102,Ana,41,2021-11-18,2027-03-17,,medellin,2,338.51,tarjeta,tablet,0
103,Laura,33,2018-01-27,2022-04-03,México,CDMX,4,212.44,paypal,tablet,0
104,Laura,22,2018-04-28,2022-02-14,argentina,Lima,4,228.53,,tablet,0
105,Juan,36,2015-01-12,2014-11-22,argentina,Lima,2,51.48,,Pc,1
106,Sofía,32,2017-10-09,2017-10-11,México,Lima,6,78.63,Efectivo,Móvil,1
107,María,33,2019-10-15,2020-07-08,argentina,Buenos Aires,7,623.86,Efectivo,Móvil,1
108,Juan,-3,2020-02-20,2022-06-04,peru,CDMX,4,375.37,paypal,Móvil,1
109,Pedro,43,2022-03-04,2026-08-04,México,Bogotá,3,36.05,Efectivo,,0
110,María,31,2018-08-10,2023-04-08,mexico,,5,157.36,Efectivo,móvil,1
111,Ana,18,2018-10-15,2022-05-27,México,,7,134.87,efectivo,Pc,1
112,María,46,2019-08-06,2024-04-01,mexico,Lima,1,117.28,efectivo,Pc,0
113,Sofía,42,2015-06-29,2020-09-05,colombia,cdmx,7,127.21,efectivo,Móvil,0
114,María,31,2017-03-07,2022-04-17,COLOMBIA,CDMX,8,205.94,,Móvil,1
115,Ana,21,2019-01-07,2019-10-23,argentina,CDMX,3,683.16,paypal,Móvil,0
116,Sofía,37,2020-07-17,2024-01-04,Perú,Medellín,4,416.41,,Pc,0
117,desconocido,36,2021-10-24,2023-08-27,Perú,Bogotá,7,416.09,Efectivo,Móvil,0
118,Laura,46,2017-06-05,2018-03-25,COLOMBIA,cdmx,6,243.06,tarjeta,tablet,0
119,Laura,29,2021-10-04,2023-05-09,ARGENTINA,Buenos Aires,8,3.55,,Móvil,1
120,,49,2018-04-04,2018-09-20,peru,bogota,1,116.13,Tarjeta,tablet,0
121,desconocido,28,2019-08-03,2019-09-20,argentina,Buenos Aires,8,143.13,Efectivo,pc,0
122,desconocido,18,2019-02-28,2021-02-07,argentina,Buenos Aires,9,369.65,,pc,0
123,María,21,2021-11-20,2021-09-08,COLOMBIA,Buenos Aires,4,512.38,paypal,Pc,0
124,Laura,34,2022-07-23,2025-08-01,mexico,Medellín,4,120.13,efectivo,móvil,1
125,Ana,34,2021-08-29,2021-11-02,peru,Buenos Aires,2,71.47,Tarjeta,,0
126,Carlos,38,2021-06-19,2026-11-04,Colombia,medellin,4,82.3,,pc,1
127,Carlos,33,2017-02-09,2020-01-18,Perú,Medellín,4,172.86,Tarjeta,Pc,1
128,Sofía,46,2018-07-02,2019-02-25,Colombia,,2,64.31,Tarjeta,Pc,0
129,Laura,31,2017-08-16,2020-04-10,México,Buenos Aires,7,483.24,tarjeta,tablet,1
130,Laura,11,2017-07-05,2019-07-16,mexico,bogota,7,108.48,,tablet,0
131,Carlos,33,2020-09-01,2020-11-28,ARGENTINA,Buenos Aires,4,922.32,,Móvil,0
132,Laura,10,2019-11-17,2021-05-20,Colombia,Medellín,6,23.2,efectivo,,0
133,María,38,2015-12-05,2016-06-15,Perú,cdmx,6,41.62,efectivo,pc,0
134,Pedro,47,2019-02-25,2023-12-18,Perú,CDMX,3,143.32,efectivo,tablet,1
135,Luis,23,2022-11-10,2026-03-16,Perú,Buenos Aires,5,405.45,efectivo,móvil,0
136,desconocido,52,2021-08-10,2025-11-04,colombia,,11,87.38,Efectivo,,0
137,,45,2018-10-27,2020-09-28,argentina,Lima,7,363.38,Tarjeta,Pc,0
138,Sofía,49,2017-07-03,2018-05-29,Colombia,cdmx,6,110.83,Tarjeta,,0
139,Pedro,37,2020-01-28,2023-12-16,México,cdmx,0,383.45,Tarjeta,Móvil,1
140,Carlos,23,2016-04-19,2017-05-10,Colombia,Bogotá,10,64.99,paypal,tablet,0
141,desconocido,44,2018-12-17,2018-12-05,México,CDMX,6,999999.0,efectivo,tablet,1
142,Laura,27,2018-10-11,2019-03-30,Perú,Buenos Aires,6,65.35,Efectivo,tablet,0
143,,36,2019-01-23,2024-02-22,peru,cdmx,3,48.47,Efectivo,,1
144,Laura,32,2020-09-05,2025-04-04,México,Bogotá,7,109.34,,pc,0
145,Ana,48,2022-10-20,2024-12-27,mexico,CDMX,6,81.51,,,0
146,Ana,43,2017-03-11,2021-09-10,argentina,CDMX,1,309.43,paypal,tablet,0
147,,34,2022-12-17,2023-06-12,argentina,Medellín,5,275.38,paypal,,1
148,,11,2018-05-31,2023-08-13,colombia,Buenos Aires,4,88.81,,Pc,1
149,Carlos,27,2017-05-13,2021-07-24,,,3,972.63,,tablet,0
150,,43,2022-06-30,2024-07-30,Colombia,cdmx,5,728.69,Tarjeta,,1
151,María,38,2018-03-17,2019-08-04,COLOMBIA,cdmx,5,499.8,Tarjeta,móvil,1
152,Laura,16,2017-01-08,2019-08-27,colombia,bogota,5,176.62,Tarjeta,tablet,1
153,Pedro,13,2018-10-06,2021-04-06,COLOMBIA,bogota,5,106.31,Tarjeta,Móvil,1
154,Juan,37,2021-09-28,2025-08-04,,cdmx,0,75.09,,Móvil,0
155,,22,2017-09-08,2019-05-08,argentina,Buenos Aires,0,3.03,Tarjeta,móvil,0
156,Sofía,23,2021-10-12,2024-03-07,mexico,bogota,9,999999.0,,Móvil,0
157,Ana,43,2020-09-19,2025-06-02,Perú,,6,161.11,efectivo,pc,1
158,María,49,2017-10-08,2019-09-13,Perú,,6,198.78,Efectivo,Pc,1
159,desconocido,25,2022-07-13,2026-06-15,México,medellin,1,171.58,efectivo,Pc,1
160,Juan,34,,,colombia,medellin,7,29.63,Efectivo,pc,1
161,Pedro,34,2016-12-17,2018-08-28,,medellin,5,237.74,tarjeta,Móvil,0
162,Juan,33,2019-12-13,2022-04-09,mexico,CDMX,6,89.39,tarjeta,móvil,0
163,,35,2022-02-04,2023-02-12,Perú,Buenos Aires,6,145.26,tarjeta,móvil,1
164,Carlos,44,2019-01-13,2020-04-24,México,bogota,6,91.03,Efectivo,Pc,1
165,Ana,26,2021-11-26,2024-08-03,Colombia,CDMX,2,4.45,paypal,,0
166,Ana,16,2018-03-11,2018-07-03,argentina,bogota,3,418.39,efectivo,móvil,1
167,desconocido,55,2021-05-30,2023-08-07,Colombia,Buenos Aires,4,32.21,paypal,pc,1
168,Carlos,48,2016-09-01,2021-04-29,argentina,Bogotá,5,174.54,Efectivo,Pc,1
169,Laura,21,2020-12-23,2026-02-17,Colombia,Lima,3,429.34,Tarjeta,tablet,1
170,Luis,36,2021-12-06,2024-08-28,México,Medellín,6,50.03,paypal,pc,1
171,María,47,2019-12-18,2023-03-26,mexico,medellin,6,106.21,Efectivo,pc,1
172,Ana,43,2018-08-28,2021-10-28,colombia,Buenos Aires,4,94.88,tarjeta,móvil,0
173,Sofía,40,2022-11-01,2023-01-23,argentina,Medellín,6,18.69,Tarjeta,,1
174,Ana,32,2016-07-08,2018-02-01,,Lima,6,110.16,tarjeta,móvil,0
175,Juan,55,2019-07-14,2023-11-11,COLOMBIA,Bogotá,9,130.58,paypal,móvil,0
176,Ana,37,2019-10-22,2020-09-20,mexico,,2,5.39,paypal,tablet,1
177,Ana,28,2015-02-15,2017-10-08,mexico,cdmx,4,133.94,efectivo,pc,1
178,Luis,45,2018-06-13,2021-10-31,México,Medellín,2,19.71,efectivo,Móvil,0
179,Luis,36,2017-12-07,2019-07-17,COLOMBIA,Lima,5,445.98,Efectivo,Pc,0
180,Pedro,39,2021-02-23,2023-04-21,ARGENTINA,CDMX,4,210.05,,móvil,1
181,Laura,37,2020-11-01,2020-09-30,mexico,Buenos Aires,6,11.62,paypal,móvil,1
182,Sofía,40,2016-06-26,2017-05-11,,Buenos Aires,4,350.94,tarjeta,pc,0
183,Ana,23,2018-12-22,2019-05-13,mexico,,4,89.76,efectivo,tablet,0
184,Ana,17,2020-10-19,2024-08-16,peru,cdmx,5,51.14,tarjeta,móvil,1
185,María,52,2022-01-11,2026-05-09,argentina,medellin,3,58.58,Efectivo,tablet,1
186,Luis,37,2020-06-15,2025-09-05,Perú,bogota,7,182.12,,tablet,0
187,Sofía,44,2017-07-01,2021-05-02,mexico,Medellín,7,17.01,tarjeta,Móvil,1
188,desconocido,13,2017-12-04,2018-11-08,mexico,CDMX,6,12.11,tarjeta,tablet,1
189,Pedro,47,2021-05-29,2024-08-27,México,Buenos Aires,4,-100.0,Tarjeta,Móvil,1
190,Laura,28,2017-03-22,2020-04-03,,bogota,6,802.47,Efectivo,Pc,1
191,Carlos,25,2019-01-28,2021-10-02,México,CDMX,2,132.11,,tablet,1
192,Laura,34,2020-03-23,2023-08-06,colombia,,5,106.64,efectivo,Pc,0
193,Juan,23,2019-04-23,2022-06-19,argentina,bogota,4,588.24,Tarjeta,tablet,0
194,Ana,34,2017-05-16,2018-10-12,,Buenos Aires,11,55.15,paypal,Móvil,0
195,Pedro,33,2021-08-24,2022-07-09,México,Medellín,5,55.03,paypal,Móvil,0
196,Juan,47,2019-11-02,2024-10-06,COLOMBIA,Buenos Aires,3,471.02,efectivo,Pc,1
197,Sofía,53,2021-04-28,2021-10-20,COLOMBIA,medellin,3,208.22,,pc,0
198,Carlos,52,2016-08-02,2020-08-25,mexico,medellin,2,11.06,,pc,1
199,Luis,7,2021-08-01,2026-02-22,Perú,Lima,7,224.16,Efectivo,pc,0
200,Pedro,23,2018-12-13,2023-05-13,México,CDMX,4,342.99,paypal,tablet,1
201,Pedro,7,2016-11-28,2019-11-27,colombia,medellin,3,64.03,paypal,pc,1
202,Ana,20,2020-05-30,2022-05-10,México,Lima,6,96.54,paypal,Pc,1
203,,27,2021-10-26,2025-04-26,México,Medellín,2,44.05,Efectivo,pc,1
204,Pedro,39,2016-12-26,2020-04-21,peru,,7,200.67,paypal,Pc,0
205,María,28,2015-10-13,2017-07-23,Perú,CDMX,4,218.24,efectivo,Pc,0
206,Carlos,29,2020-03-06,2023-03-07,México,Medellín,5,14.2,efectivo,,1
207,Carlos,37,2016-07-23,2017-02-08,Colombia,bogota,9,226.46,efectivo,tablet,1
208,María,14,2022-11-27,2024-04-09,Colombia,Lima,4,214.85,Tarjeta,,1
209,desconocido,24,2020-05-18,2021-07-20,mexico,Lima,4,7.15,efectivo,Móvil,1
210,María,28,2019-02-22,2019-08-18,colombia,CDMX,6,162.1,tarjeta,tablet,1
211,María,32,2016-05-12,2017-11-25,Perú,medellin,1,190.35,paypal,tablet,1
212,Carlos,35,2020-04-01,2023-09-22,colombia,bogota,6,112.48,efectivo,móvil,0
213,Laura,53,2016-12-05,2018-03-29,COLOMBIA,bogota,5,463.17,,pc,0
214,Carlos,45,2018-09-18,2022-08-18,,Lima,5,79.61,,pc,1
215,,25,2016-07-15,2020-01-25,Perú,Lima,6,13.91,,Pc,0
216,Ana,31,2020-06-21,2022-02-01,peru,medellin,7,222.86,,Móvil,0
217,Juan,31,2015-02-01,2016-07-21,Perú,medellin,-5,185.89,Efectivo,,0
218,Laura,28,2015-02-12,2019-11-26,México,medellin,6,903.04,,pc,0
219,Luis,38,2020-03-31,2025-07-28,argentina,bogota,6,52.61,Efectivo,pc,0
220,Juan,12,2035-01-01,2036-12-23,peru,,5,100.67,Efectivo,Móvil,0
221,Ana,45,2020-01-20,2024-11-27,mexico,Bogotá,6,123.67,Tarjeta,pc,0
222,,55,2016-07-12,2018-08-25,colombia,Buenos Aires,4,395.39,,móvil,1
223,,31,2021-05-06,2023-08-23,Colombia,cdmx,3,107.08,Efectivo,pc,1
224,Luis,31,2018-12-07,2023-04-07,peru,Lima,5,295.81,Tarjeta,móvil,0
225,Laura,36,2017-07-31,2019-11-19,mexico,CDMX,8,34.14,paypal,tablet,1
226,desconocido,47,2019-05-18,2024-04-19,COLOMBIA,cdmx,5,105.45,tarjeta,tablet,1
227,María,31,2018-10-02,2024-02-03,Perú,cdmx,2,33.68,Efectivo,móvil,0
228,Laura,46,2020-04-12,2024-10-14,Perú,,7,597.87,Efectivo,,1
229,desconocido,40,2019-06-25,2019-04-10,Colombia,medellin,6,39.14,Tarjeta,,1
230,,63,2020-09-15,2025-07-17,argentina,CDMX,5,108.63,Tarjeta,Pc,0
231,Carlos,31,2015-04-02,2015-02-21,colombia,medellin,5,17.17,tarjeta,móvil,0
232,Ana,11,2020-01-18,2020-02-09,,Bogotá,3,508.63,efectivo,Pc,0
233,Luis,17,2015-07-04,2019-05-24,Perú,cdmx,7,195.54,Tarjeta,Móvil,1
234,Ana,35,2016-12-28,2019-12-19,,CDMX,7,656.45,tarjeta,Móvil,1
235,Sofía,47,2017-11-17,2022-04-27,colombia,medellin,7,8.64,paypal,móvil,0
236,Sofía,27,2019-04-21,2021-12-08,COLOMBIA,cdmx,3,38.47,,Pc,0
237,Laura,32,2021-08-16,2024-05-18,COLOMBIA,CDMX,5,95.62,Efectivo,tablet,1
238,,43,2017-04-11,2021-09-27,,Medellín,6,194.23,Efectivo,móvil,1
239,,23,2015-12-11,2017-02-28,Colombia,bogota,5,79.95,tarjeta,móvil,1
240,María,27,2018-12-13,2022-04-06,,cdmx,5,248.87,tarjeta,Pc,0
241,María,20,2018-05-04,2018-06-27,México,medellin,4,36.1,Efectivo,Móvil,1
242,María,49,2020-10-26,2024-01-01,mexico,Medellín,5,183.58,Tarjeta,,1
243,Carlos,53,2015-06-16,2018-11-29,peru,Buenos Aires,5,101.49,efectivo,tablet,0
244,Juan,16,2015-09-21,2018-01-05,Colombia,,5,141.95,paypal,Pc,1
245,Pedro,33,2019-02-04,2020-03-21,mexico,Lima,5,168.62,efectivo,Pc,0
246,Juan,51,2018-05-16,2020-08-24,Perú,bogota,6,12.35,efectivo,tablet,1
247,Ana,39,2022-08-03,2022-10-28,colombia,Buenos Aires,6,515.47,efectivo,,1
248,Juan,29,2018-07-10,2023-04-20,COLOMBIA,CDMX,3,308.44,Efectivo,,1
249,Carlos,16,2019-03-10,2023-07-29,colombia,Lima,11,116.84,efectivo,móvil,1
250,Ana,48,2019-12-14,2020-09-29,Colombia,CDMX,2,158.58,Tarjeta,móvil,1
251,Juan,39,2022-01-03,2025-03-31,ARGENTINA,bogota,4,6.62,Tarjeta,pc,1
252,Carlos,17,2020-02-21,2021-08-28,,medellin,5,137.81,Tarjeta,tablet,0
253,Pedro,49,2019-10-16,2024-04-11,México,CDMX,3,111.14,tarjeta,Pc,0
254,Juan,15,2020-03-24,2020-06-07,mexico,cdmx,4,93.84,paypal,pc,1
255,Carlos,32,2022-03-08,2023-12-31,mexico,CDMX,6,337.86,Tarjeta,pc,0
256,María,31,2022-08-01,2024-11-08,argentina,Bogotá,4,40.16,efectivo,pc,1
257,,54,2018-08-28,2021-09-24,COLOMBIA,Bogotá,8,38.79,tarjeta,móvil,0
258,María,31,2018-04-12,2019-12-13,mexico,Medellín,3,147.49,Efectivo,Móvil,0
259,,31,2021-10-14,2024-06-25,Colombia,,5,232.4,Tarjeta,pc,0
260,Luis,18,2017-02-06,2020-07-10,peru,bogota,8,4.54,efectivo,Pc,0
261,Luis,27,2021-11-15,2026-11-18,ARGENTINA,CDMX,5,157.86,efectivo,,0
262,Luis,25,2015-04-11,2015-10-08,mexico,,2,70.96,,móvil,0
263,Pedro,25,2019-09-29,2024-11-04,peru,Lima,4,282.84,Efectivo,,0
264,María,35,2020-04-03,2024-11-13,mexico,Buenos Aires,4,126.55,tarjeta,Móvil,0
265,,5,2021-04-10,2023-12-17,Colombia,bogota,3,359.24,efectivo,Móvil,1
266,Carlos,16,2018-10-03,2019-10-14,peru,CDMX,5,101.16,paypal,pc,0
267,Ana,33,2015-04-15,2016-12-20,Perú,,8,351.0,Tarjeta,pc,0
268,Carlos,36,2016-11-24,2017-04-15,mexico,Bogotá,7,252.11,tarjeta,móvil,1
269,Ana,32,2019-08-18,2021-11-30,Perú,Bogotá,3,352.35,Tarjeta,pc,1
270,Sofía,34,2018-08-03,2022-06-26,argentina,Buenos Aires,8,334.71,Tarjeta,móvil,1
271,Carlos,30,2017-12-06,2019-12-13,COLOMBIA,bogota,6,133.25,Efectivo,Móvil,0
272,Juan,34,2017-12-02,2021-04-30,Colombia,,5,91.8,paypal,Pc,1
273,Juan,40,2017-03-28,2022-07-08,México,,3,289.76,paypal,Pc,0
274,Laura,40,,,Colombia,medellin,6,89.73,Efectivo,tablet,1
275,María,26,2019-03-17,2022-11-08,,bogota,4,18.73,Tarjeta,,0
276,Ana,45,2020-12-31,2021-05-19,México,Medellín,6,391.58,paypal,tablet,0
277,Ana,36,2017-06-08,2017-07-16,,Bogotá,5,101.23,Tarjeta,tablet,1
278,María,49,2020-02-21,2021-01-05,peru,Medellín,9,28.45,tarjeta,Pc,1
279,Pedro,52,2020-02-17,2024-03-11,argentina,CDMX,5,207.96,Efectivo,pc,1
280,Laura,17,2017-02-28,2017-09-19,peru,Medellín,4,441.04,Efectivo,móvil,1
281,Pedro,24,2016-07-06,2019-09-23,mexico,Medellín,4,394.61,paypal,Pc,0
282,Pedro,44,2017-04-23,2022-08-01,COLOMBIA,cdmx,7,161.69,,tablet,1
283,Pedro,15,2016-10-20,2016-07-18,Colombia,Medellín,5,18.44,,tablet,0
284,María,52,2022-11-24,2025-10-27,colombia,Medellín,5,238.54,tarjeta,,1
285,Pedro,30,2017-10-15,2018-08-26,Colombia,,2,187.72,Tarjeta,pc,0
286,Juan,41,2020-05-07,2023-03-17,Colombia,bogota,7,47.18,paypal,tablet,1
287,Luis,33,2018-04-05,2021-02-15,México,Bogotá,2,461.6,Tarjeta,tablet,0
288,Sofía,18,2017-01-20,2017-03-10,ARGENTINA,Buenos Aires,7,18.13,tarjeta,móvil,1
289,Ana,47,2021-04-15,2025-12-13,colombia,Medellín,3,93.37,efectivo,pc,1
290,Ana,68,2017-02-13,2019-02-21,mexico,Lima,6,19.86,paypal,Móvil,1
291,Sofía,28,2022-09-12,2028-01-12,,bogota,7,485.96,,Móvil,0
292,María,31,2018-10-12,2023-02-24,Perú,Buenos Aires,4,7.21,,tablet,0
293,Carlos,3,2016-11-22,2017-04-14,,,6,110.94,paypal,tablet,1
294,María,51,2022-11-07,2027-10-22,COLOMBIA,Buenos Aires,3,395.78,Efectivo,móvil,1
295,Ana,45,2016-12-19,2020-08-01,argentina,Buenos Aires,6,57.91,efectivo,Móvil,1
